scenario,speed_diff,time_diff,co2_diff,energy_diff,diffpercent
S1,1102.04,-91.33,-74.07,-51.25,100.83
S2,900.43,-89.45,-96.93,-39.13,133.43
S3,991.38,-90.0,-92.25,-90.17,129.4
S4,808.56,-89.33,-89.69,-42.85,112.27
S5,848.27,-88.85,-90.88,-42.87,113.59
S6,682.77,-88.51,-89.67,-30.02,106.36
S7,1076.48,-90.43,-89.0,-41.65,117.52
S8,682.66,-87.06,-87.5,-40.01,102.65
S9,863.83,-89.05,-90.67,-93.89,122.84
S10,881.83,-90.11,-90.52,-43.72,114.19
S11,718.07,-89.17,-90.62,-55.59,108.66
S12,899.89,-90.55,-88.89,-48.84,110.31
