Scenario,Distance,BaselineSpeed_Mean,BaselineSpeed_Std,BaselineSpeed_P5,BaselineSpeed_P95,BaselineTime_Mean,BaselineTime_Std,BaselineTime_P5,BaselineTime_P95,BaselineCO2_Mean,BaselineCO2_Std,BaselineCO2_P5,BaselineCO2_P95,BaselineEnergy_Mean,BaselineEnergy_Std,BaselineEnergy_P5,BaselineEnergy_P95,HLSpeed_Mean,HLSpeed_Std,HLSpeed_P5,HLSpeed_P95,HLTime_Mean,HLTime_Std,HLTime_P5,HLTime_P95,HLCO2_Mean,HLCO2_Std,HLCO2_P5,HLCO2_P95,HLEnergy_Mean,HLEnergy_Std,HLEnergy_P5,HLEnergy_P95
S1,800,93.15,7.04,83.0,105.9,11.01,0.38,10.39,11.62,22.17,0.94,20.71,23.77,100.03,7.51,87.69,112.45,400.08,7.6,387.57,412.51,1.0,0.08,0.87,1.12,2.0,0.38,1.38,2.63,55.01,1.89,51.88,58.16
S2,1500,93.23,7.03,83.06,105.97,16.17,0.56,15.33,17.15,40.01,1.87,36.94,43.11,178.18,9.39,161.98,192.87,349.36,10.35,331.9,366.07,1.6,0.08,1.47,1.72,3.0,0.38,2.37,3.61,100.04,3.8,93.77,106.26
S3,900,115.0,1.9,111.87,118.11,8.5,0.19,8.19,8.81,19.99,0.75,18.75,21.23,100.0,3.75,93.86,106.19,420.04,11.31,401.45,438.79,1.2,0.08,1.07,1.32,2.5,0.19,2.19,2.81,60.01,3.75,53.85,66.22
S4,500,99.86,7.51,87.51,112.09,6.0,0.38,5.38,6.63,15.01,1.14,13.15,16.84,70.03,7.57,57.61,82.51,399.94,7.57,387.46,412.42,0.95,0.13,0.72,1.14,2.0,0.38,1.38,2.62,40.03,3.83,33.75,46.33
S5,600,110.03,3.82,103.76,116.25,6.0,0.38,5.38,6.62,16.0,0.75,14.77,17.24,70.0,3.78,63.81,76.21,400.0,7.59,387.67,412.61,0.6,0.04,0.54,0.66,1.5,0.19,1.19,1.81,40.0,1.88,36.92,43.12
S6,2245,100.09,7.56,87.63,112.54,28.16,1.31,26.09,30.39,225.02,13.13,203.58,246.6,499.75,15.13,475.18,524.74,428.15,17.02,399.27,455.37,3.0,0.19,2.69,3.31,118.4,9.37,102.33,133.09,310.9,14.05,288.02,334.66
S7,1200,109.96,3.79,103.83,116.26,12.0,0.38,11.38,12.61,34.69,2.23,30.94,38.28,156.66,10.99,137.1,173.41,421.74,16.87,394.97,449.91,1.32,0.06,1.23,1.41,4.0,0.38,3.38,4.63,88.4,5.5,78.73,96.7
S8,1100,115.03,1.9,111.91,118.11,10.0,0.38,9.37,10.62,30.04,1.91,26.85,33.15,119.99,7.59,107.51,132.42,411.54,13.11,390.69,433.9,1.3,0.07,1.18,1.42,3.0,0.38,2.37,3.62,78.4,5.51,68.69,86.72
S9,750,91.71,5.48,83.35,101.31,9.0,0.38,8.39,9.62,22.14,1.7,19.41,25.0,80.01,3.83,73.71,86.29,399.97,7.55,387.56,412.41,0.9,0.04,0.84,0.96,1.99,0.38,1.37,2.61,49.95,3.78,43.69,56.1
S10,1000,84.96,5.67,75.74,94.31,11.51,0.57,10.58,12.45,28.16,1.32,26.05,30.36,120.11,7.57,107.58,132.54,419.94,11.42,401.38,438.87,1.18,0.05,1.09,1.27,2.5,0.19,2.19,2.81,70.06,3.76,63.91,76.23
S11,6000,83.37,11.18,66.59,103.23,75.03,1.89,71.93,78.13,131.65,5.51,123.38,141.35,500.46,37.63,438.64,562.83,716.84,54.82,632.55,811.96,6.5,0.19,6.19,6.81,35.03,1.89,31.9,38.11,299.98,19.05,269.08,331.8
S12,1200,91.67,5.51,83.35,101.49,12.5,0.19,12.19,12.81,34.01,1.52,31.51,36.51,139.97,7.51,127.52,152.38,420.08,11.33,401.32,438.79,3.08,0.09,2.92,3.23,2.1,0.04,2.04,2.16,49.94,3.8,43.69,56.12
