scenario,distance,baselinespeed_mean,baselinetime_mean,baselineco2_mean,baselineenergy_mean,hlspeed_mean,hltime_mean,hlco2_mean,hlenergy_mean,baselineexports,hlexports,diffpercent
S1,6000,83.17,75,134.99,615.98,999.74,6.5,35,300.31,0.011,0.022,100.83
S2,2245,99.95,30.34,225.05,499.49,999.93,3.2,6.91,304.06,0.02,0.047,133.43
S3,1500,93.24,16.5,39.99,1016.42,1017.6,1.65,3.1,99.95,0.03,0.068,129.4
S4,1200,110.04,12,33.95,139.98,999.78,1.28,3.5,80,0.037,0.079,112.27
S5,1180,94.95,13,33.99,139.94,900.38,1.45,3.1,79.95,0.037,0.078,113.59
S6,1100,115,10.01,30.01,99.99,900.19,1.15,3.1,69.97,0.04,0.083,106.36
S7,1000,84.98,11.5,28.17,120,999.77,1.1,3.1,70.02,0.041,0.089,117.52
S8,900,115.02,8.5,20,100,900.22,1.1,2.5,59.99,0.047,0.095,102.65
S9,800,93.39,10.5,22.5,899.6,900.12,1.15,2.1,54.99,0.047,0.104,122.84
S10,750,91.68,9,22.16,79.98,900.14,0.89,2.1,45.01,0.051,0.109,114.19
S11,600,110.01,6,16,90.02,899.96,0.65,1.5,39.98,0.062,0.129,108.66
S12,500,90.02,5.5,13.5,68.41,900.1,0.52,1.5,35,0.069,0.145,110.31
