Scenario,Distance,BaselineSpeed_Mean,BaselineSpeed_Std,BaselineSpeed_P5,BaselineSpeed_P95,BaselineTime_Mean,BaselineTime_Std,BaselineTime_P5,BaselineTime_P95,BaselineCO2_Mean,BaselineCO2_Std,BaselineCO2_P5,BaselineCO2_P95,BaselineEnergy_Mean,BaselineEnergy_Std,BaselineEnergy_P5,BaselineEnergy_P95,HLSpeed_Mean,HLSpeed_Std,HLSpeed_P5,HLSpeed_P95,HLTime_Mean,HLTime_Std,HLTime_P5,HLTime_P95,HLCO2_Mean,HLCO2_Std,HLCO2_P5,HLCO2_P95,HLEnergy_Mean,HLEnergy_Std,HLEnergy_P5,HLEnergy_P95
S1,800,93.37,7.14,83.15,106.44,10.01,0.38,9.38,10.63,22.15,0.94,20.69,23.77,99.98,7.55,87.49,112.38,900.5,37.81,837.85,961.37,1.0,0.08,0.88,1.13,2.0,0.38,1.38,2.62,54.99,1.91,51.87,58.12
S2,1500,93.31,7.14,82.97,106.25,16.0,0.38,15.37,16.62,40.05,1.9,36.89,43.17,178.35,9.42,162.28,193.18,899.6,37.9,838.21,962.86,1.6,0.04,1.54,1.66,3.0,0.38,2.38,3.62,100.03,3.77,93.8,106.22
S3,900,114.98,1.88,111.9,118.07,8.5,0.19,8.19,8.81,19.99,0.76,18.77,21.24,99.98,3.79,93.72,106.21,900.23,37.8,837.56,962.4,1.1,0.04,1.04,1.16,2.5,0.19,2.18,2.81,59.98,3.74,53.83,66.18
S4,500,90.01,3.79,83.72,96.26,5.5,0.19,5.19,5.81,13.83,0.55,12.87,14.66,59.92,3.82,53.66,66.19,900.26,37.8,837.64,962.29,0.5,0.04,0.44,0.56,1.5,0.19,1.19,1.81,34.99,1.87,31.95,38.08
S5,600,109.99,3.77,103.78,116.14,5.5,0.19,5.19,5.81,16.01,0.75,14.77,17.24,69.96,3.77,63.84,76.23,900.12,38.0,838.0,961.98,0.6,0.04,0.54,0.66,1.5,0.19,1.19,1.81,40.01,1.89,36.9,43.08
S6,400,109.99,3.78,103.78,116.21,4.5,0.19,4.19,4.81,12.01,0.76,10.73,13.26,49.96,3.78,43.79,56.2,900.56,38.12,838.19,963.32,0.45,0.02,0.42,0.48,1.22,0.09,1.07,1.38,27.82,0.94,26.21,29.29
S7,1200,105.01,1.89,101.88,108.09,11.5,0.19,11.18,11.81,31.14,1.32,29.05,33.38,140.04,7.6,127.47,152.5,949.91,19.02,918.42,980.98,1.25,0.02,1.22,1.28,2.5,0.19,2.19,2.81,79.95,3.8,73.8,86.26
S8,1100,115.03,1.91,111.84,118.15,9.5,0.19,9.19,9.82,27.83,0.93,26.24,29.29,120.04,7.62,107.6,132.6,950.22,18.93,919.07,981.3,1.15,0.02,1.12,1.18,2.7,0.17,2.38,2.94,69.96,3.76,63.73,76.09
S9,750,91.74,5.54,83.29,101.35,8.5,0.19,8.19,8.81,20.0,0.76,18.76,21.26,80.02,3.79,73.81,86.25,899.88,37.89,838.42,962.81,0.85,0.02,0.82,0.88,2.0,0.38,1.37,2.63,44.99,1.91,41.91,48.13
S10,1000,85.06,5.63,75.84,94.2,11.5,0.56,10.57,12.44,28.16,1.31,26.07,30.38,120.02,7.66,107.61,132.58,949.76,19.04,918.39,980.91,1.1,0.04,1.04,1.16,2.5,0.19,2.19,2.81,69.98,3.8,63.68,76.18
S11,6000,83.42,11.17,66.4,103.01,74.98,1.92,71.81,78.13,131.64,5.5,123.29,141.41,500.01,37.61,437.63,561.93,949.95,19.0,918.68,980.94,6.5,0.19,6.18,6.81,35.01,1.9,31.87,38.11,299.89,18.97,268.75,331.08
S12,1200,91.75,5.55,83.4,101.48,12.5,0.19,12.19,12.82,34.0,1.49,31.53,36.44,139.93,7.64,127.4,152.45,899.07,37.83,837.08,960.93,1.35,0.06,1.26,1.44,3.5,0.19,3.19,3.81,79.94,3.76,73.77,86.19
