scenario,distance,baseline_speed_mean,baseline_speed_std,baseline_speed_p5,baseline_speed_p95,baseline_time_mean,baseline_time_std,baseline_time_p5,baseline_time_p95,baseline_co2_mean,baseline_co2_std,baseline_co2_p5,baseline_co2_p95,baseline_energy_mean,baseline_energy_std,baseline_energy_p5,baseline_energy_p95,hl_speed_mean,hl_speed_std,hl_speed_p5,hl_speed_p95,hl_time_mean,hl_time_std,hl_time_p5,hl_time_p95,hl_co2_mean,hl_co2_std,hl_co2_p5,hl_co2_p95,hl_energy_mean,hl_energy_std,hl_energy_p5,hl_energy_p95
S1,6000,83.17,11.06,66.46,102.94,75.0,1.89,71.88,78.1,134.99,5.67,125.74,144.31,615.98,93.69,469.12,776.77,999.74,37.79,938.17,1062.18,6.5,0.19,6.19,6.81,35.0,1.88,31.88,38.09,300.31,18.75,269.39,331.17
S2,2245,99.95,7.49,87.76,112.34,30.34,1.1,28.65,32.26,225.05,13.22,203.42,246.89,499.49,37.64,437.52,561.41,999.93,37.94,937.5,1062.3,3.2,0.15,2.95,3.45,6.91,0.97,5.34,8.51,304.06,13.91,282.99,328.69
S3,1500,93.24,7.09,83.11,106.23,16.5,0.19,16.19,16.81,39.99,1.88,36.91,43.12,1016.42,55.54,932.19,1115.22,1017.6,55.26,933.8,1113.18,1.65,0.02,1.62,1.68,3.1,0.04,3.04,3.16,99.95,3.76,93.76,106.13
S4,1200,110.04,3.76,103.82,116.2,12.0,0.37,11.39,12.62,33.95,2.26,30.27,37.73,139.98,7.58,127.44,152.34,999.78,37.68,937.96,1061.33,1.28,0.01,1.26,1.3,3.5,0.19,3.19,3.81,80.0,3.75,73.82,86.17
S5,1180,94.95,5.64,85.74,104.33,13.0,0.38,12.37,13.62,33.99,1.51,31.51,36.5,139.94,7.61,127.74,152.48,900.38,37.71,837.9,962.23,1.45,0.04,1.36,1.5,3.1,0.04,3.04,3.16,79.95,3.76,73.78,86.22
S6,1100,115.0,1.9,111.88,118.11,10.01,0.37,9.39,10.63,30.01,1.89,26.86,33.12,99.99,3.77,93.8,106.2,900.19,37.8,838.38,962.86,1.15,0.02,1.12,1.18,3.1,0.04,3.04,3.16,69.97,3.81,63.71,76.19
S7,1000,84.98,5.66,75.51,94.28,11.5,0.56,10.56,12.41,28.17,1.31,26.09,30.4,120.0,7.53,107.62,132.43,999.77,38.01,936.81,1062.17,1.1,0.04,1.04,1.16,3.1,0.04,3.04,3.16,70.02,3.79,63.8,76.24
S8,900,115.02,1.88,111.89,118.12,8.5,0.19,8.19,8.81,20.0,0.76,18.73,21.25,100.0,3.78,93.79,106.28,900.22,37.66,838.34,962.58,1.1,0.04,1.04,1.16,2.5,0.19,2.19,2.81,59.99,3.79,53.76,66.18
S9,800,93.39,7.09,83.09,106.23,10.5,0.19,10.19,10.81,22.5,0.95,20.95,24.08,899.6,38.11,836.82,962.65,900.12,38.31,836.86,962.83,1.15,0.06,1.06,1.24,2.1,0.04,2.04,2.16,54.99,1.9,51.85,58.1
S10,750,91.68,5.5,83.31,101.4,9.0,0.38,8.37,9.63,22.16,1.7,19.44,25.0,79.98,3.75,73.84,86.2,900.14,37.94,837.91,962.6,0.89,0.03,0.84,0.93,2.1,0.04,2.04,2.16,45.01,1.87,41.94,48.09
S11,600,110.01,3.84,103.65,116.26,6.0,0.37,5.39,6.62,16.0,0.76,14.75,17.24,90.02,3.77,83.92,96.21,899.96,37.87,837.89,962.04,0.65,0.02,0.62,0.68,1.5,0.19,1.2,1.81,39.98,1.9,36.84,43.11
S12,500,90.02,3.76,83.93,96.22,5.5,0.19,5.19,5.81,13.5,0.56,12.58,14.43,68.41,5.51,58.84,76.76,900.1,37.3,837.83,961.39,0.52,0.01,0.51,0.54,1.5,0.19,1.18,1.81,35.0,1.89,31.93,38.1
