Scenario,Distance,BaselineSpeed_Min,BaselineSpeed_Mode,BaselineSpeed_Max,BaselineTime_Min,BaselineTime_Mode,BaselineTime_Max,BaselineCO2_Min,BaselineCO2_Mode,BaselineCO2_Max,BaselineEnergy_Min,BaselineEnergy_Mode,BaselineEnergy_Max,HLSpeed_Min,HLSpeed_Mode,HLSpeed_Max,HLTime_Min,HLTime_Mode,HLTime_Max,HLCO2_Min,HLCO2_Mode,HLCO2_Max,HLEnergy_Min,HLEnergy_Mode,HLEnergy_Max
S1,6000,60,80,120,70,75,80,120,135,150,600,750,900,600,700,900,6,6.5,7,30,35,40,300,330,420
S2,2245,80,100,120,25,28,32,190,225,260,380,420,450,380,430,470,2.5,3,3.5,90,120,140,330,375,420
S3,1500,80,90,120,16,16.5,17,35,40,45,320,347.5,375,320,350,375,1.4,1.6,1.8,2,3,4,108,120,132
S4,1200,100,110,120,11,12,13,28,34,40,380,420,470,380,420,470,1.2,1.3,1.5,3,4,5,84,96,108
S5,1180,80,95,110,12,13,14,30,34,38,390,420,450,390,420,450,2.8,3,3.3,2,2.1,2.2,84,96,108
S6,1100,110,115,120,9,10,11,25,30,35,380,420,450,380,410,450,1.1,1.3,1.5,2,3,4,72,84,96
S7,1000,70,85,100,10,11.5,13,25,28,32,390,420,450,390,420,450,1,1.2,1.3,2,2.5,3,72,81,96
S8,900,110,115,120,8,8.5,9,18,20,22,390,420,450,390,420,450,1,1.2,1.4,2,2.5,3,60,72,84
S9,800,80,90,120,10,10.5,11,20,22.5,25,380,400,420,380,400,420,0.8,1,1.2,1,2,3,60,66,72
S10,750,80,90,110,8,9,10,18,22,27,380,400,420,380,400,420,0.8,0.9,1,1,2,3,48,54,60
S11,600,100,110,120,5,6,7,14,16,18,380,400,420,380,400,420,0.6,0.7,1.2,1,2,3,42,48,54
S12,500,80,90,100,5,6,7,12,13.5,15,380,400,420,380,400,420,0.5,1,1.2,1,2,3,36,42,48
